Accession Number,Scientific Name,Common Name,Order,Original Length Difference,Identity,Mismatch Region Count
MH087700.1,Nematostella vectensis,Starlet Sea Anemone,Actiniaria,285,54.43,213
MN690364.1,Stichodactyla haddoni,Haddon's Sea Anemone,Actiniaria,265,54.41,203
MN690352.1,Discosoma sp.,Mushroom Anemone,Corallimorpharia,274,53.97,200
AY451340.1,Acropora cervicornis,Staghorn Coral,Scleractinia,285,53.76,229
MN413851.1,Stylophora pistillata,Hood Coral,Scleractinia,353,50.42,218
KF492662.1,Montipora digitata,Finger Coral,Scleractinia,286,53.49,222
AY451372.1,Agaricia tenuifolia,Thin Leaf Lettuce Coral,Scleractinia,285,53.96,207
AY451384.2,Porites porites,Hump Coral,Scleractinia,285,54.63,221
AY451356.1,Montastraea cavernosa,Great Star Coral,Scleractinia,285,54.12,211
MN413871.1,Pocillopora verrucosa,Cauliflower Coral,Scleractinia,353,51.06,206
DQ445807.1,Tubastraea coccinea,Orange Cup Coral,Scleractinia,313,53.23,221
AY451348.1,Diploria labyrinthiformis,Grooved Brain Coral,Scleractinia,285,54.22,210
AB117287.1,Trachyphyllia geoffroyi,Open Brain Coral,Scleractinia,313,48.62,250
MK153446.1,Gorgonia ventalina,Common Sea Fan,Alcyonacea,285,62.84,115
KP714054.1,Paragorgia arborea,Bubblegum Coral,Alcyonacea,367,57.31,145
MH516541.1,Dendronephthya sp.,Tree Coral,Alcyonacea,284,65.11,112
KC864978.1,Sarcophyton glaucum,Toadstool Leather Coral,Alcyonacea,231,71.16,100
AY827536.1,Corallium rubrum,Red Coral,Alcyonacea,385,55.83,135
KP714062.1,Sibogagorgia cauliflora,Deep-Sea Cauliflower Coral,Alcyonacea,367,56.99,145
AY351664.1,Keratoisis sp.,Deep-Sea Bamboo Coral,Alcyonacea,286,50.0,258
JX991270.1,Sinularia peculiaris,Leather Coral,Alcyonacea,55,75.07,84
GQ342455.1,Renilla sp.,Sea Pansy,Pennatulacea,90,83.46,89
MG935218.1,Stylatula elegans,Slender Sea Pen,Pennatulacea,285,63.47,100
HE654650.1,Plerogyra sinuosa,Bubble Coral,Scleractinia,289,51.9,225
MN413710.1,Pleuractis paumotensis,Mushroom Coral,Scleractinia,353,51.01,215
HF954193.1,Nemenzophyllia turbida,Fox Coral,Scleractinia,318,51.09,226
OQ323427.1,Leptogorgia virgulata,Colorful Sea Whip,Alcyonacea,285,62.63,118
MK153476.1,Eunicea flexuosa,Bent Sea Rod,Alcyonacea,285,63.15,113
KC864974.1,Tubipora musica,Organ Pipe Coral,Alcyonacea,235,69.99,106
KF435121.1,Mnemiopsis leidyi,Warty Comb Jelly,OUTGROUP,287,51.16,255
