Accession Number,Scientific Name,Common Name,Order,Original Length Difference,Identity,Mismatch Region Count
MH087700.1,Nematostella vectensis,Starlet Sea Anemone,Actiniaria,54,50.0,221
MN690364.1,Stichodactyla haddoni,Haddon's Sea Anemone,Actiniaria,34,50.67,219
MN690352.1,Discosoma sp.,Mushroom Anemone,Corallimorpharia,43,49.86,194
AY451340.1,Acropora cervicornis,Staghorn Coral,Scleractinia,54,49.46,204
MN413851.1,Stylophora pistillata,Hood Coral,Scleractinia,122,50.35,203
KF492662.1,Montipora digitata,Finger Coral,Scleractinia,55,49.66,201
AY451372.1,Agaricia tenuifolia,Thin Leaf Lettuce Coral,Scleractinia,54,49.59,214
AY451384.2,Porites porites,Hump Coral,Scleractinia,54,50.07,213
AY451356.1,Montastraea cavernosa,Great Star Coral,Scleractinia,54,52.42,207
MN413871.1,Pocillopora verrucosa,Cauliflower Coral,Scleractinia,122,50.55,195
DQ445807.1,Tubastraea coccinea,Orange Cup Coral,Scleractinia,82,49.59,208
AY451348.1,Diploria labyrinthiformis,Grooved Brain Coral,Scleractinia,54,51.62,209
AB117287.1,Trachyphyllia geoffroyi,Open Brain Coral,Scleractinia,82,50.14,206
MK153446.1,Gorgonia ventalina,Common Sea Fan,Alcyonacea,54,63.3,84
KP714054.1,Paragorgia arborea,Bubblegum Coral,Alcyonacea,136,50.0,197
MH516541.1,Dendronephthya sp.,Tree Coral,Alcyonacea,53,73.02,66
AY827536.1,Corallium rubrum,Red Coral,Alcyonacea,154,50.35,198
KP714062.1,Sibogagorgia cauliflora,Deep-Sea Cauliflower Coral,Alcyonacea,136,49.65,204
AY351664.1,Keratoisis sp.,Deep-Sea Bamboo Coral,Alcyonacea,55,52.43,209
JX991270.1,Sinularia peculiaris,Leather Coral,Alcyonacea,176,76.69,31
GQ342426.1,Heliopora coerulea,Blue Coral,Helioporacea,231,71.16,100
GQ342455.1,Renilla sp.,Sea Pansy,Pennatulacea,141,73.42,100
MG935218.1,Stylatula elegans,Slender Sea Pen,Pennatulacea,54,61.73,84
HE654650.1,Plerogyra sinuosa,Bubble Coral,Scleractinia,58,50.34,205
MN413710.1,Pleuractis paumotensis,Mushroom Coral,Scleractinia,122,51.86,205
HF954193.1,Nemenzophyllia turbida,Fox Coral,Scleractinia,87,50.14,201
OQ323427.1,Leptogorgia virgulata,Colorful Sea Whip,Alcyonacea,54,63.18,84
MK153476.1,Eunicea flexuosa,Bent Sea Rod,Alcyonacea,54,63.55,61
KC864974.1,Tubipora musica,Organ Pipe Coral,Alcyonacea,4,90.34,61
KF435121.1,Mnemiopsis leidyi,Warty Comb Jelly,OUTGROUP,56,52.12,196
